No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;time 1;time 2;delay;;Delay 2;Delay 3;Jitter
98;4,497907;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=79457 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,497907;4,497907;0;;-0,000072;7,20E-05;0,000144
99;4,497907;118.98.113.218;10.120.93.121;TLSv1.2;1514;Application Data [TCP segment of a reassembled PDU];;;;;;;;;;4,497907;4,497979;7,20E-05;;-0,001967;0,002039;0,004006
100;4,497979;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=82377 Win=524 Len=0;;;;;;;;;;4,497979;4,500018;0,002039;;0,002039;0;-0,002039
101;4,500018;118.98.113.218;10.120.93.121;TCP;1514;[TCP Previous segment not captured] 443  >  61020 [ACK] Seq=83837 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,500018;4,500018;0;;-0,000129;0,000129;0,000258
102;4,500018;118.98.113.218;10.120.93.121;TCP;1514;[TCP Out-Of-Order] 443  >  61020 [ACK] Seq=82377 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,500018;4,500147;0,000129;;0,000034;9,50E-05;0,000061
103;4,500147;10.120.93.121;118.98.113.218;TCP;66;[TCP Dup ACK 100#1] 61020  >  443 [ACK] Seq=838 Ack=82377 Win=524 Len=0 SLE=83837 SRE=85297;;;;;;;;;;4,500147;4,500242;9,50E-05;;-0,004696;0,004791;0,009487
104;4,500242;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=85297 Win=524 Len=0;;;;;;;;;;4,500242;4,505033;0,004791;;0,004791;0;-0,004791
105;4,505033;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=85297 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,505033;4,505033;0;;-0,00012;0,00012;0,00024
106;4,505033;118.98.113.218;10.120.93.121;TCP;1514;443  >  61020 [ACK] Seq=86757 Ack=838 Win=275 Len=1460 [TCP segment of a reassembled PDU];;;;;;;;;;4,505033;4,505153;0,00012;;-0,00387;0,00399;0,00786
107;4,505153;10.120.93.121;118.98.113.218;TCP;54;61020  >  443 [ACK] Seq=838 Ack=88217 Win=524 Len=0;;;;;;;;;;4,505153;4,509143;0,00399;;0,00399;0;-0,00399
